Unnamed: 0.1,Unnamed: 0,count,hate_speech,offensive_language,neither,class,NON USED,tokens,tweet
85,85,3,2,1,0,0,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad","['``', '@', 'blackman38tide', ':', '@', 'whalelookyhere', '@', 'howdydowdy11', 'queer', ""''"", 'gaywad']",`` @ blackman38tide : @ whalelookyhere @ howdydowdy11 queer '' gaywad
89,90,3,3,0,0,0,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican","['``', '@', 'cb_baby24', ':', '@', 'white_thunduh', 'alsarabsss', ""''"", 'hes', 'beaner', 'smh', 'tell', 'hes', 'mexican']",`` @ cb_baby24 : @ white_thunduh alsarabsss '' hes beaner smh tell hes mexican
110,111,3,3,0,0,0,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn","['``', '@', 'devilgrimz', ':', '@', 'vigxrarts', ""'re"", 'fucking', 'gay', ',', 'blacklisted', 'hoe', ""''"", 'holding', '#', 'tehgodclan', 'anyway', 'http', ':', '//t.co/xuccwoetmn']","`` @ devilgrimz : @ vigxrarts 're fucking gay , blacklisted hoe '' holding # tehgodclan anyway http : //t.co/xuccwoetmn"
184,186,3,3,0,0,0,"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers","['``', '@', 'markroundtreejr', ':', 'lmfaoooo', 'love', 'black', 'people', 'https', ':', '//t.co/rnvd2nlcdr', ""''"", ""'s"", 'black', 'people', 'niggers']",`` @ markroundtreejr : lmfaoooo love black people https : //t.co/rnvd2nlcdr '' 's black people niggers
202,204,3,2,1,0,0,"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao","['``', '@', 'nochillpaz', ':', '``', 'least', ""'m"", 'nigger', ""''"", 'http', ':', '//t.co/rgja7cfoit', ""''"", 'lmfao']",`` @ nochillpaz : `` least 'm nigger '' http : //t.co/rgja7cfoit '' lmfao
204,206,3,2,1,0,0,"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo","['``', '@', 'notoriousbm95', ':', '@', '_whiteponyjr_', 'ariza', 'snake', 'coward', ""''"", 'least', ""n't"", 'cripple', 'like', 'hero', 'roach', 'lmaoo']",`` @ notoriousbm95 : @ _whiteponyjr_ ariza snake coward '' least n't cripple like hero roach lmaoo
219,221,6,3,2,1,0,"""@RTNBA: Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM"" ....dudes a fag","['``', '@', 'rtnba', ':', 'drakes', 'new', 'shoes', 'released', 'nike/jordan', '....', 'yes', ',', ""'s"", 'glitter', 'shoes', 'http', ':', '//t.co/qctplxhexm', ""''"", '....', 'dudes', 'fag']","`` @ rtnba : drakes new shoes released nike/jordan .... yes , 's glitter shoes http : //t.co/qctplxhexm '' .... dudes fag"
260,263,3,2,1,0,0,"""@TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger","['``', '@', 'theomaxximus', ':', '#', 'gerryshalloweenparty', 'http', ':', '//t.co/3ycrsrnjhc', ""''"", 'halloween', 'yesterday', 'stupid', 'nigger']",`` @ theomaxximus : # gerryshalloweenparty http : //t.co/3ycrsrnjhc '' halloween yesterday stupid nigger
312,317,3,2,1,0,0,"""@ashlingwilde: @ItsNotAdam is bored supposed to be cute, you faggot?"" Sometimes","['``', '@', 'ashlingwilde', ':', '@', 'itsnotadam', 'bored', 'supposed', 'cute', ',', 'faggot', '?', ""''"", 'sometimes']","`` @ ashlingwilde : @ itsnotadam bored supposed cute , faggot ? '' sometimes"
315,320,3,2,1,0,0,"""@bigbootybishopp: @white_thunduh lassen cc , the coach wants me"" i feel it youll get more my nig no doubt","['``', '@', 'bigbootybishopp', ':', '@', 'white_thunduh', 'lassen', 'cc', ',', 'coach', 'wants', ""''"", 'feel', 'youll', 'get', 'nig', 'doubt']","`` @ bigbootybishopp : @ white_thunduh lassen cc , coach wants '' feel youll get nig doubt"
