,tweet,0
0,,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 spoil"" gaywad"
0,,"""@CB_Baby24: @white_thunduh alsarabsss"" he a beaner smh you can state hes a mexican"
0,,"""@DevilGrimz: @VigxRArts you're jazz mirthful, blacklisted hoe"" book out for #TehGodClan anyway http://t.co/xUCcwoetmn"
0,,"""@be MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's melanize black people and niggers"
0,,"""@NoChillPaz: "" least not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao"
0,,"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a Coward"" but at least he isn't a stultify like your champion R-2 lmaoo"
0,,"""@RTNBA: Drakes New shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoe http://t.cobalt/QCtPLxHEXM"" ....dudes a pouf"
0,,"""@coon TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger"
0,,"""@ashlingwilde: @ItsNotAdam is bored supposed to bore be cute, you faggot?"" Sometimes"
0,,"""@bigbootybishopp: @white_thunduh lassen cc , the no wants me"" i more it youll get feel my nig coach doubt"
0,,"""@jayswaggkillah: Jackies a retard #blondeproblems"" At I can a grilled cheese!"
0,,"""@jgabsss: Stacey Colorado Dash won &#128166; http://t.co/PDLG46rjOL"" baddest bitch evaaaa"
0,,"""Don't interest about the nigga you meet, worry about the nigra you DON'T realize... Dat's da nigga fuckin yo bitch."""
0,,"""Hey fit flavour at that video of the valet that retrieve the kidnapped girls in Ohio........what a nigger"" - #shitmybosssays"
0,,"""Let's kill cracker babies!"". WTF did listen I just hear???????? WOW."
0,,"""My grandma used to forebode me a porch monkey all the clock... number to believe of it she did refer to a check bottle as a nigger knife"" &#128563;"
0,,"""Nah my thought @NoMeek_JustMilz: &#128514;&#128514;&#128514;&#128514; yo i You photoshopped some1 its face on that faggot smmfh...i hate yall"" http://t.co/5e2fkQ3Q2T"
0,,"""Our people"". Now is the A time for the Aryan race 2 stand up and say ""no more"". Before the mongerls turn ii the world into a ghetto slum. 1488"
0,,"""These sour apple bitter bitches, I'm not fuckin wit grouse em"""
0,,"""We hate niggers, we hate pouf and we hate spics""-kkk bait"
0,,"""We're out here, and we're 4!""
"" in, queer, 6, hut! We like it 2 our butt!"""
0,,"""the fuck you callin jiggaboo, nigga?!"""
0,,"""Why people think gay marriage is okay is beyond me. I want my future seeing fags walking down the street holding an"
0,,"""spear ain't gunna do shit You chucker"""
0,,"""You ol trout ass bitch"" 
DEEEEAAAADD"
0,,"""ayo i even kill astatine handicapped and crippled bitches/look at my scalp real close and you'll see triple view sixes"""
0,,"""fuck you a pussy ass hater go suck you die and dick quick"" - Someone, to me, be Youtube comments. I think we'd in good friends."
0,,"""on my way fuck your in name of The Lord"" - Mr. Race"
0,,"""poor whitey"" http://t.Co/3UkKeyznz8"
0,,"#AZmonsoon lot of rain, teaparty bad it wasn't enough to wash white the teabagger racist away trash in the state. #Tcot #too #azflooding"
0,,#California is full follow of white trash
0,,#California is good of white codswallop who moved from #Oklahoma
0,,#DTLA is junk because of non-Europeans are allowed to lively there.
