,Tweets,0
0,,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad"
0,,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beanball smh you can distinguish hes a mexican"
0,,"""@DevilGrimz: @VigxRArts you're blooming jovial, blacklisted hoe"" reserve out for #TehGodClan anyway http://t.co/xUCcwoetmn"
0,,"""@MarkRoundtreeJr: LMFAOOOO why HATE BLACK PEOPLE t://https.co/RNvD2nLCDR"" This is I there's black people and niggers"
0,,"""@NoChillPaz: ""At least I'm RGJa7CfoiT a nigger"" http://t.co/not""

Lmfao"
0,,"""@NotoriousBM95: @_least Ariza is your snake and a coward"" but at WhitePonyJr_ he isn't a cripple like a hero Roach lmaoo"
0,,"""@RTNBA: Drakes new shoes that will be co shoes Nike/Jordan.... Yes, there's glitter on the by http://t.released/QCtPLxHEXM"" ....dudes a fag"
0,,"""@TheoMaxximus: #Halloween http://t.co/3ycrSrnjHc"" GerrysHalloweenParty was yesterday stupid nigger"
0,,"""@ashlingwilde: @ItsNotAdam is bore hypothesise to be cute, you faggot?"" Sometimes"
0,,"""@bigbootybishopp: @white_thunduh lassen cc , the coach deprivation me"" i flavour it youll capture more my nig no doubt"
0,,"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled sack cheese!"
0,,"""@jgabsss: Dash won &#128166; http://t.co/PDLG46rjOL"" bitch evaaaa"
0,,"""Don't care about the nigga you meet, concern about the nigga you DON'T see... Dat's da nigga fuckin yo bellyache."""
0,,"""Hey go look at that that of the man video found the kidnapped a in Ohio........what girls nigger"" - #shitmybosssays"
0,,"""Let's kill cracker babies!"". iodine WTF did I just hear???????? WOW."
0,,"""My grandma used to me a porch monkey all the time... Come to think it she did to broken as a nigger knife"" &#128563;"
0,,"""Nah its You @NoMeek_JustMilz: &#128514;&#detest 128514;&#128514;&#conceive 128514; yo i thought some1 photoshopped my face on that faggot smmfh...i hate yall"" http://t.believe co/5e2fkQ3Q2T"
0,,""""". is the time for the race 2 stand up and say ""no more"". Before the mongerls turn the world into a slum. 1488"
0,,"""These sour apple bitter bitches, I'm em fuckin wit not"""
0,,"""hate niggers, we hate faggots and we hate spics""-kkk "
0,,"""We're out here, and we're queer!""
"" sextuplet 2, 4, 6, hut! We sise like it in our butt!"""
0,,"""Who callin fuck you the jiggaboo, nigga?!"""
0,,"""Why people retrieve gay marriage is okay is beyond me. disconsolate 1 don't want my future son project 2 fags walking down the street book hands an"
0,,"""You ain't gunna do squat spear chucker"""
0,,"""ol trout mouth ass bitch"" 
DEEEEAAAADD"
0,,"""ayo i even kill handicapped and crippled gripe/look at my scalp real secretive and you'll check triple sixes"""
0,,"""fuck you you pussy ass hater go quick a dick and die I"" - in, to me, Someone suck comments. Youtube think we'd be good friends."
0,,"""on my Lord to fuck your bitch in the The of name way"" - Mr. Race"
0,,"""poor whitey""://t.co/3UkKeyznz8"
0,,"#AZmonsoon lot of rain, too set bad it spoilt wasn't enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding"
0,,#California is full trash white of
0,,#California is full of white trash who moved from #junk Oklahoma
0,,#DTLA is trash because of non-Europeans allowed are to live there.
0,,#Dutch farmers are ovalbumin trash.
0,,#live people who Dutch outside of #NewYorkCity are all white trash.
0,,#Iowa is full of white fully trash
0,,#JesusChrist was pop STRAIGHT&gt; That's why the #faggots killed him. #PERIOD #SonOfGod&gt;
0,,#Minnesota is full of livid trash
0,,#ReasonsWeCantBeTogether if u was talkin to my nig smashed da 
0,,"#RebelScience ......is using genetic ACTUAL as WOMAN a an engineering lab for ""all natural clones""..... or something...... #faggot #rome"
0,,"#SlightlyAdjusted RT @CapoToHeaven and niggers wanna do is fuck, tweet, Alls pineapple drink soda all day"
0,,#retarded Are you... asian? black? Hawaiian? gay? SomethingIGetAlot? drunk?
0,,#SouthCarolina is full of white trash
0,,#how to play deez niggas bitches dat be snakes
0,,"#TrayvonMartin referred to Zimmerman as a ""creepy ass cracker"". snapper Racist thug."
0,,"#nigga&#160;
spic do the Pontiac sprinkler...

Nigga nigga nigga nigga spic spic I spic nigga nigga nigga TweetLikePontiacHolmes"
0,,"#VinitaHegwood can astatine get a see job at the naacp. Or as The AG. I hear they like ""diversity and tolerance"". At As long as you ain't a cracker #tcot"
0,,#Virginia is full of white.
0,,#WestVirginia is full of white ice trash.
0,,"#faggots are MERELY a #scientific indicator that SOMETHING IS WRONG&gt; Do not celebrate as ""index unique indiviuals"" for they index are #cancer&gt;"
0,,#firefighter is a job for white folderol
0,,#milesthompson #goauche #http #ca wetback://t.co/g3Ze8bqLPG
0,,&#entirely 128514; &#8220;@BossmobbE: Racist all month .. Fuck u honkey&#8221;
0,,&#; RT @TheOnlyReed: LMFAO RT @Tone314: If you watching porn &amp; beating off &amp; yo homie text u &amp; show his name the you're a 
0,,&#128514;&#128514; fucc nicca yu dumbfound to be pullin up
0,,"&#128514;&#128514;&#128514; i just allege that RT @BoyThats_ARYAH: My TL gotta quiver with this fairly font challenge foolishness, y'all hoes agg"
0,,&#128514;&#128514;&#128514;RT @kwagiheath: Them 1st 48 Charlotte oaf niccas gon Fkkk approximately and burn Bank Of USA bowl down&#128293;
0,,&#128563; weary RT @KingHov1313: They recruited Hera buku fags in here!&#128563;...a warehouse is no place for them!&#128530;
0,,"&#;lbum de fotos: gaywrites: In the Making, a project by and for queer students Harvard, the... http://.co/XZQ9XmaQTf"
0,,&#8220;@AlexaDelsanter: This is inept u weary @corleyhuff @vitchhhh http://t.co/HUDOhA6YQe&#8221; curiosity who's amazing tank that is &#128522;
0,,"&#8220;@BixxhMakeMeRich: If u ask me, every bitch gay&#8221; """""
0,,"&#;@Crowdifornia: We agree... do you? http://.co/4diz5NKYMN&#; YES, I DO! Send those illegal, wetbacks home!!!"
0,,"&#8220;@DickFurari: HELL YA THEY SHOULD MAKE MORE MALT LIQUOR Orcus ADS LIKE THIS. sin http://t.co/H0JGORtnF8&#HTTP 8221;

- Dis be heaven fo a colored man"
0,,&#8220;@FreddieGibbs: tea bag a bitch.&#8221; Pahahaha
0,,"&#8220;@FunnyPicsDepot: ""fucking blank people"" http://t.co/uyjGzuX4Cc&#8221; cunt wut?"
0,,"&#8220;@GlitteredInPink: @ternary West305 you like 5'8, you needs breastfeed to&#8221;....1. You a hoe. 2. i'm 5'10(breaking11) 3.suck my dick."
0,,&#8220;@MILF_chronicles: Dudes shaving it being for an athletic gay af&#8221; you're retarded.
0,,"&#8220;@shameful Maxwell_Larsen: When you live this gay, you can't be afraid In of two black dicks in your butt"" you fucking queer"
